dur,sbytes,dbytes,attack_cat,dur_scaled,sbytes_scaled,dbytes_scaled,total_bytes
0.121478,258,172,normal,0.07273432703024649,0.06873879258816497,0.06243194192377496,430
0.649902,734,2755,normal,0.3891254762641075,0.2109982068141064,1,3489
1.623129,364,2755,normal,0.9718401315322689,0.100418410041841,1,3119
1.6701605000000002,628,770,normal,1,0.17931858936043035,0.279491833030853,1398
0.449454,534,268,normal,0.26910826833708495,0.15122534369396293,0.09727767695099819,802
0.380537,534,268,normal,0.22784456942910575,0.15122534369396293,0.09727767695099819,802
0.637109,534,354,normal,0.38146573338310896,0.15122534369396293,0.12849364791288567,888
0.521584,534,354,normal,0.31229573445186853,0.15122534369396293,0.12849364791288567,888
0.542905,534,354,normal,0.325061573423632,0.15122534369396293,0.12849364791288567,888
0.258687,534,268,normal,0.15488750931422457,0.15122534369396293,0.09727767695099819,802
0.304853,3374,268,normal,0.18252916411326933,1,0.09727767695099819,3642
1.6701605000000002,3374,2212,normal,1,1,0.8029038112522686,5586
0.416952,534,268,normal,0.2496478631844065,0.15122534369396293,0.09727767695099819,802
0.996221,564,354,normal,0.5964821943759296,0.16019127316198445,0.12849364791288567,918
0.576755,534,354,normal,0.34532908663568557,0.15122534369396293,0.12849364791288567,888
2e-6,138,0,normal,1.1974897023369909e-6,0.0328750747160789,0,138
0.728252,534,268,normal,0.43603713535315913,0.15122534369396293,0.09727767695099819,802
0.393556,860,1096,normal,0.2356396286464684,0.24865511057979678,0.39782214156079854,1956
0.387852,534,268,normal,0.23222438801540327,0.15122534369396293,0.09727767695099819,802
0.53784,534,354,normal,0.3220289307524636,0.15122534369396293,0.12849364791288567,888
0.23372,534,268,normal,0.13993864661510075,0.15122534369396293,0.09727767695099819,802
0.338017,998,268,normal,0.20238593835742133,0.28989838613269575,0.09727767695099819,1266
0.964656,690,950,normal,0.5775828131487961,0.19784817692767484,0.3448275862068966,1640
0.449703,738,268,normal,0.2692573558050259,0.21219366407650928,0.09727767695099819,1006
0.921025,534,268,normal,0.5514589765474635,0.15122534369396293,0.09727767695099819,802
0.600982,534,354,normal,0.35983487814494475,0.15122534369396293,0.12849364791288567,888
0.568945,534,268,normal,0.34065288934805965,0.15122534369396293,0.09727767695099819,802
0.497636,2074,268,normal,0.2979569927560854,0.6114763897190676,0.09727767695099819,2342
0.546425,1168,1040,normal,0.32716915529974516,0.3407053197848177,0.37749546279491836,2208
1.2e-5,1414,0,normal,7.184938214021945e-6,0.41422594142259417,0,1414
0.725996,822,2755,normal,0.434686366968923,0.2372982665869695,1,3577
0.274605,1228,268,normal,0.16441832985512467,0.3586371787208607,0.09727767695099819,1496
0.337456,800,2260,normal,0.20205004249591577,0.23072325164375374,0.8203266787658802,3060
2.5e-5,168,0,normal,1.4968621279212387e-5,0.04184100418410042,0,168
0.296656,988,268,normal,0.17762125256824116,0.2869097429766886,0.09727767695099819,1256
0.647499,1778,2755,normal,0.38768669238674963,0.5230125523012552,1,4533
1.5e-5,168,0,normal,8.981172767527431e-6,0.04184100418410042,0,168
0.783681,564,354,normal,0.46922496370857764,0.16019127316198445,0.12849364791288567,918
0.354553,1016,268,normal,0.21228678321634356,0.2952779438135087,0.09727767695099819,1284
0.288834,754,268,normal,0.17293787034240118,0.21697549312612074,0.09727767695099819,1022
0.318127,3040,268,normal,0.19047690326767994,0.9001793185893604,0.09727767695099819,3308
0.595373,842,1454,normal,0.35647651827474064,0.24327555289898387,0.5277676950998185,2296
8e-6,168,0,normal,4.7899588093479635e-6,0.04184100418410042,0,168
0.340802,804,2714,normal,0.20405344276792559,0.2319187089061566,0.9851179673321234,3518
0.594195,792,2755,normal,0.35577119684006414,0.228332337118948,1,3547
0.958877,2690,2755,normal,0.5741226666538933,0.7955768081291094,1,5445
0.704664,564,354,normal,0.42191394180379665,0.16019127316198445,0.12849364791288567,918
0.401005,1282,2755,normal,0.2400996790428225,0.3747758517632995,1,4037
1.067039,3374,1848,normal,0.6388841072459802,1,0.6707803992740472,5222
1e-5,168,0,normal,5.987448511684955e-6,0.04184100418410042,0,168
1.6701605000000002,3374,2755,normal,1,1,1,6129
1.474306,564,354,normal,0.8827331265468198,0.16019127316198445,0.12849364791288567,918
0.694488,564,354,normal,0.41582111419830603,0.16019127316198445,0.12849364791288567,918
1.6701605000000002,56,92,normal,1,0.008368200836820083,0.033393829401088926,148
2.4e-5,168,0,normal,1.436987642804389e-5,0.04184100418410042,0,168
1.357879,3374,2755,normal,0.8130230597598255,1,1,6129
0.304583,842,2476,normal,0.18236750300345383,0.24327555289898387,0.8987295825771325,3318
0,46,0,normal,0,0.005379557680812911,0,46
1.1e-5,168,0,normal,6.586193362853449e-6,0.04184100418410042,0,168
0.28907,3374,1328,normal,0.17307917412727697,1,0.482032667876588,4702
0.679871,564,354,normal,0.40706926070877614,0.16019127316198445,0.12849364791288567,918
0.707468,564,354,normal,0.4235928223664731,0.16019127316198445,0.12849364791288567,918
0.448097,942,354,normal,0.2682957715740493,0.2731619844590556,0.12849364791288567,1296
0.291859,860,2755,normal,0.17474907351718588,0.24865511057979678,1,3615
1.6701605000000002,384,0,normal,1,0.10639569635385535,0,384
0.307031,538,452,normal,0.1838332303991143,0.15242080095636582,0.16406533575317606,990
0.519983,866,2755,normal,0.3113371439451477,0.25044829647340106,1,3621
1.6701605000000002,564,354,normal,1,0.16019127316198445,0.12849364791288567,918
1.1e-5,1458,0,normal,6.586193362853449e-6,0.4273759713090257,0,1458
0.021412,1540,1644,normal,0.012820324753219824,0.45188284518828453,0.5967332123411978,3184
1.1e-5,1362,0,normal,6.586193362853449e-6,0.39868499701135685,0,1362
1e-5,438,0,normal,5.987448511684955e-6,0.12253436939629408,0,438
1.6701605000000002,184,112,normal,1,0.04662283323371189,0.040653357531760435,296
1.1e-5,938,0,normal,6.586193362853449e-6,0.2719665271966527,0,938
1e-5,636,0,normal,5.987448511684955e-6,0.1817095038852361,0,636
1.1e-5,1260,0,normal,6.586193362853449e-6,0.3682008368200837,0,1260
1.1e-5,970,0,normal,6.586193362853449e-6,0.28153018529587565,0,970
1.1e-5,1740,0,normal,6.586193362853449e-6,0.511655708308428,0,1740
9e-6,256,0,normal,5.388703660516459e-6,0.06814106395696354,0,256
9e-6,344,0,normal,5.388703660516459e-6,0.09444112372982666,0,344
1e-5,1096,0,normal,5.987448511684955e-6,0.31918708906156606,0,1096
8e-6,1784,0,normal,4.7899588093479635e-6,0.5248057381948595,0,1784
1.1e-5,1548,0,normal,6.586193362853449e-6,0.45427375971309025,0,1548
9e-6,206,0,normal,5.388703660516459e-6,0.05319784817692767,0,206
1e-5,1448,0,normal,5.987448511684955e-6,0.42438732815301855,0,1448
9e-6,232,0,normal,5.388703660516459e-6,0.06096832038254633,0,232
9e-6,352,0,normal,5.388703660516459e-6,0.0968320382546324,0,352
1.1e-5,986,0,normal,6.586193362853449e-6,0.28631201434548714,0,986
0.989341,3374,1772,normal,0.5923628297998904,1,0.6431941923774954,5146
1e-5,926,0,normal,5.987448511684955e-6,0.2683801554094441,0,926
0.018501,1540,1644,normal,0.011077378491468334,0.45188284518828453,0.5967332123411978,3184
1.2e-5,174,0,normal,7.184938214021945e-6,0.04363419007770472,0,174
1.1e-5,604,0,normal,6.586193362853449e-6,0.17214584578601316,0,604
1e-5,552,0,normal,5.987448511684955e-6,0.15660490137477584,0,552
1.6701605000000002,1920,2755,normal,1,0.5654512851165571,1,4675
1.1e-5,1754,0,normal,6.586193362853449e-6,0.515839808726838,0,1754
1.1e-5,742,0,normal,6.586193362853449e-6,0.21338912133891214,0,742
1.6701605000000002,1684,2755,normal,1,0.4949193066347878,1,4439
1.2e-5,1858,0,normal,7.184938214021945e-6,0.5469216975493126,0,1858
1e-5,606,0,normal,5.987448511684955e-6,0.17274357441721458,0,606
